           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
         -16.5306         -75.7653                5         -0.15914        0.0453308         0.343231        -0.091279           1.4554        -0.398929
         -12.8571         -75.7653                5        -0.159549         0.045226         0.314074       -0.0856521          1.27775        -0.349719
         -9.18367         -75.7653                5        -0.151751        0.0427967         0.282856       -0.0771651          1.11981        -0.306088
          -5.5102         -75.7653                5        -0.144202        0.0405125         0.256404       -0.0671644         0.981239        -0.267285
         -1.83673         -75.7653                5         -0.17116        0.0479211         0.263625       -0.0688966         0.878228        -0.241143
          1.83673         -75.7653                5        -0.188574         0.052722         0.259181       -0.0672381         0.781304        -0.215832
           5.5102         -75.7653                5        -0.195041        0.0545625         0.241114       -0.0617406         0.689162         -0.19077
          9.18367         -75.7653                5        -0.155274        0.0430186         0.176201       -0.0437024         0.589115        -0.162252
          12.8571         -75.7653                5        -0.154842        0.0426312         0.160047        -0.039338         0.523922        -0.144141
          16.5306         -75.7653                5        -0.152169         0.041635         0.142945       -0.0347193         0.458642         -0.12596
          20.2041         -75.7653                5        -0.128145        0.0348949         0.115199       -0.0273129         0.386331        -0.105612
          23.8776         -75.7653                5       -0.0981462        0.0267835        0.0837314       -0.0187768         0.305755       -0.0835939
           27.551         -75.7653                5       -0.0777196        0.0212136         0.064353       -0.0138214         0.257953       -0.0697988
          31.2245         -75.7653                5       -0.0557946        0.0152207        0.0455348      -0.00932764         0.227914       -0.0611148
           34.898         -75.7653                5       -0.0458928        0.0124095        0.0321316      -0.00632491         0.195708       -0.0520032
          38.5714         -75.7653                5       -0.0393254        0.0105617        0.0211474      -0.00394611         0.162597       -0.0427142
          42.2449         -75.7653                5       -0.0340147       0.00913563        0.0118549      -0.00201225         0.130054       -0.0336646
          45.9184         -75.7653                5       -0.0299608       0.00813119       0.00425412     -0.000523323        0.0980778       -0.0248545
          49.5918         -75.7653                5       -0.0271636       0.00754839      -0.00165497      0.000520666        0.0666698       -0.0162839
          53.2653         -75.7653                5        -0.025898       0.00702041      -0.00140107      0.000693543           0.0435       -0.0103706
          56.9388         -75.7653                5        -0.023574       0.00631965       -0.0021088       0.00101844        0.0240254      -0.00539534
          60.6122         -75.7653                5       -0.0201475       0.00548211      -0.00439328       0.00157273       0.00753447      -0.00111875
          64.2857         -75.7653                5       -0.0170325       0.00465928      -0.00712034       0.00228491      -0.00181683       0.00142543
          67.9592         -75.7653                5       -0.0148481       0.00406437      -0.00874122       0.00269905       -0.0101587       0.00370072
          71.6327         -75.7653                5       -0.0134834       0.00367345       -0.0092567        0.0028098       -0.0176568       0.00574562
          75.3061         -75.7653                5        -0.009572       0.00259637      -0.00941874       0.00282624       -0.0226628        0.0071033
          78.9796         -75.7653                5      -0.00631644       0.00171144      -0.00945732       0.00279377       -0.0270292       0.00829287
          82.6531         -75.7653                5      -0.00374199        0.0010261      -0.00933893        0.0027025       -0.0307655       0.00931697
          86.3265         -75.7653                5      -0.00338008      0.000904849       -0.0100344       0.00290654       -0.0339512         0.010148
               90         -75.7653                5      -0.00389416       0.00105122      -0.00965999       0.00280571       -0.0342059        0.0101284
              -90          -72.398                5      3.07621e-05      8.81663e-06        0.0508213       -0.0144848         0.555947        -0.158248
         -86.3265          -72.398                5          0.01032      -0.00290771         0.027829      -0.00790098         0.792993        -0.225749
         -82.6531          -72.398                5        0.0383816       -0.0108067        0.0217808      -0.00611693           0.9902        -0.281868
         -78.9796          -72.398                5         0.102125       -0.0286917         0.164412       -0.0466697          1.04257        -0.296791
         -75.3061          -72.398                5        0.0905751       -0.0253179         0.211259       -0.0600073          1.11618        -0.317751
         -71.6327          -72.398                5         0.083401        -0.023187         0.258935       -0.0735864           1.1924        -0.339455
         -67.9592          -72.398                5         0.102367        -0.028526          0.30735       -0.0873373          1.34834        -0.383855
         -64.2857          -72.398                5         0.150904       -0.0422843         0.370723         -0.10534          1.50472        -0.428373
         -60.6122          -72.398                5         0.236034       -0.0664415          0.45765         -0.13004          1.66521        -0.474088
         -56.9388          -72.398                5         0.323798       -0.0911773         0.550016        -0.156188          1.84354        -0.524647
         -53.2653          -72.398                5         0.299356       -0.0839228         0.525736        -0.148971          2.00458        -0.569416
         -49.5918          -72.398                5         0.201798       -0.0557183         0.475379        -0.134082          2.15427        -0.610643
         -45.9184          -72.398                5         0.162571       -0.0427467           0.9548        -0.268907          2.41603        -0.687525
         -42.2449          -72.398                5        0.0931716       -0.0227764          1.13781        -0.318356          2.45741        -0.698615
         -38.5714          -72.398                5        0.0157768     -0.000160389          1.17897        -0.326311           2.4424        -0.692298
          -34.898          -72.398                5       -0.0972606        0.0323119          1.14316        -0.314824          2.42504        -0.686485
         -31.2245          -72.398                5        -0.208474        0.0641986          1.08769        -0.298289          2.41063        -0.681809
          -27.551          -72.398                5        -0.213337        0.0634657         0.826424        -0.218939          2.33501        -0.659466
         -23.8776          -72.398                5        -0.203663          0.05888         0.663137        -0.172343          2.13778        -0.601756
         -20.2041          -72.398                5        -0.234049        0.0665087         0.609803        -0.157059          1.90696        -0.534285
         -16.5306          -72.398                5        -0.250972        0.0705263         0.512901        -0.128571          1.67069        -0.464562
         -12.8571          -72.398                5        -0.256837        0.0724107         0.429988        -0.108165          1.49541        -0.414428
         -9.18367          -72.398                5         -0.24173        0.0679438         0.396795       -0.0998808          1.31214        -0.363199
          -5.5102          -72.398                5        -0.212687        0.0593003          0.36418       -0.0902415          1.14044        -0.314781
         -1.83673          -72.398                5        -0.188558        0.0528589          0.31993       -0.0800146         0.994341         -0.27268
          1.83673          -72.398                5        -0.198086         0.055358          0.29577       -0.0738229         0.871841        -0.240105
           5.5102          -72.398                5        -0.205526        0.0571865         0.264172       -0.0652382         0.758722         -0.21014
          9.18367          -72.398                5        -0.199214        0.0551894         0.220233        -0.053169         0.653768        -0.181292
          12.8571          -72.398                5        -0.177315        0.0487559         0.193969       -0.0460742         0.568559        -0.157115
          16.5306          -72.398                5        -0.156688        0.0427249         0.169664       -0.0393526         0.492745        -0.135304
          20.2041          -72.398                5        -0.127883         0.034502           0.1343       -0.0298976         0.397195         -0.10927
          23.8776          -72.398                5        -0.108899         0.029115         0.109826       -0.0240793          0.31776       -0.0873673
           27.551          -72.398                5        -0.100088        0.0266897        0.0853074       -0.0180189         0.254383       -0.0693985
          31.2245          -72.398                5       -0.0834342         0.022137        0.0633554       -0.0127197         0.219914       -0.0595207
           34.898          -72.398                5       -0.0703889        0.0185027        0.0464892      -0.00885847         0.191751       -0.0515711
          38.5714          -72.398                5       -0.0620911        0.0160989        0.0329814      -0.00582551         0.158492       -0.0420832
          42.2449          -72.398                5       -0.0550499        0.0141167        0.0211652      -0.00323749         0.125802       -0.0328346
          45.9184          -72.398                5        -0.048739        0.0124359        0.0103286     -0.000944621        0.0936583       -0.0238152
          49.5918          -72.398                5       -0.0396816        0.0103933      -0.00389173        0.0016453        0.0599522       -0.0144187
          53.2653          -72.398                5       -0.0347868       0.00907622      -0.00151173      0.000952382         0.033702      -0.00743707
          56.9388          -72.398                5       -0.0312826       0.00820011      -0.00224066       0.00118865        0.0126395      -0.00200567
          60.6122          -72.398                5       -0.0231522       0.00612149      -0.00728895       0.00247569      -0.00399726       0.00230531
          64.2857          -72.398                5        -0.017529       0.00469131       -0.0107312       0.00334587       -0.0139221       0.00495773
          67.9592          -72.398                5       -0.0151133       0.00405674       -0.0124425       0.00378394        -0.021961       0.00712951
          71.6327          -72.398                5       -0.0136099        0.0036511       -0.0130411       0.00391632       -0.0292055       0.00908466
          75.3061          -72.398                5      -0.00994808       0.00265469       -0.0129695       0.00384863       -0.0347193        0.0105884
          78.9796          -72.398                5       -0.0061076       0.00162471       -0.0127617       0.00372498       -0.0393146        0.0118532
          82.6531          -72.398                5      -0.00397304       0.00107581       -0.0115447       0.00333003       -0.0431352         0.012874
          86.3265          -72.398                5      -0.00410315       0.00110548       -0.0101313       0.00293389       -0.0460208        0.0136138
               90          -72.398                5      -0.00572225        0.0015779      -0.00764649       0.00222775       -0.0451929        0.0132849
              -90         -69.0306                5         0.110975       -0.0317619        0.0924903       -0.0264681         0.594918          -0.1694
         -86.3265         -69.0306                5      -0.00975019       0.00283795      -0.00430167       0.00127853         0.915133        -0.260559
         -82.6531         -69.0306                5        0.0273305       -0.0076434       -0.0143669       0.00419862          1.13366        -0.322764
         -78.9796         -69.0306                5         0.153396       -0.0433002         0.156337       -0.0443824          1.23246        -0.350992
         -75.3061         -69.0306                5         0.230405       -0.0650172         0.328065        -0.093229          1.24851        -0.355527
         -71.6327         -69.0306                5         0.240483       -0.0678121         0.413478        -0.117562          1.35087         -0.38469
         -67.9592         -69.0306                5         0.291107       -0.0821932         0.516767        -0.146971          1.53502        -0.437174
         -64.2857         -69.0306                5         0.371302        -0.104994         0.635016        -0.180634          1.71961        -0.489777
         -60.6122         -69.0306                5         0.483237        -0.136764         0.782349        -0.222534          1.89631        -0.540157
         -56.9388         -69.0306                5         0.546697        -0.154461         0.916791         -0.26054          2.03203        -0.578443
         -53.2653         -69.0306                5         0.497951        -0.140167         0.934587         -0.26518          2.15045        -0.610937
         -49.5918         -69.0306                5         0.354734       -0.0989131         0.874686        -0.247572          2.25491        -0.638826
         -45.9184         -69.0306                5         0.360265       -0.0987789          1.51607        -0.429672          2.50389        -0.712645
         -42.2449         -69.0306                5        0.0899602       -0.0185156          2.14839        -0.608402          2.91996        -0.835081
         -38.5714         -69.0306                5       -0.0789002        0.0304116          2.24812        -0.632165          2.95048        -0.843207
          -34.898         -69.0306                5        -0.247244        0.0791856          2.21514        -0.618678          2.92839        -0.835622
         -31.2245         -69.0306                5        -0.392995         0.119717          1.97435         -0.54601          2.88721        -0.824116
          -27.551         -69.0306                5        -0.439438         0.129229          1.39415        -0.372169          2.73465        -0.780381
         -23.8776         -69.0306                5        -0.455376         0.131544          1.14975         -0.30198          2.50438        -0.713374
         -20.2041         -69.0306                5        -0.483628         0.137923          1.03618        -0.268567          2.24793        -0.638647
         -16.5306         -69.0306                5        -0.407853         0.114425         0.746093        -0.186394          1.92589        -0.543366
         -12.8571         -69.0306                5        -0.375649         0.105183         0.557124        -0.135896          1.71687        -0.482949
         -9.18367         -69.0306                5        -0.353234        0.0986786         0.521958        -0.127814          1.50829        -0.424122
          -5.5102         -69.0306                5        -0.302658        0.0839155         0.468931        -0.113466          1.29449        -0.362125
         -1.83673         -69.0306                5        -0.257177        0.0713321         0.402496       -0.0971013          1.12688        -0.314292
          1.83673         -69.0306                5        -0.224644        0.0627049         0.346018       -0.0827768         0.979854        -0.270954
           5.5102         -69.0306                5        -0.213643        0.0594149         0.295994       -0.0698778         0.840787        -0.232754
          9.18367         -69.0306                5        -0.199045        0.0550042         0.256783         -0.05955         0.708292        -0.196553
          12.8571         -69.0306                5        -0.177019        0.0485158         0.233568       -0.0526902         0.609871        -0.168258
          16.5306         -69.0306                5        -0.152306        0.0410604         0.199299       -0.0434817         0.508367        -0.140262
          20.2041         -69.0306                5        -0.130284        0.0344124         0.165054       -0.0353537         0.411045        -0.113644
          23.8776         -69.0306                5        -0.119055        0.0310269         0.145776         -0.03153         0.330142       -0.0913169
           27.551         -69.0306                5        -0.115063        0.0298481         0.126659        -0.027002         0.258713       -0.0711846
          31.2245         -69.0306                5         -0.11523        0.0299319        0.0819761       -0.0164251         0.205652       -0.0565392
           34.898         -69.0306                5        -0.106092        0.0273923        0.0638402       -0.0122256         0.177209       -0.0486122
          38.5714         -69.0306                5       -0.0972075        0.0248069        0.0478038      -0.00859763         0.147194       -0.0400696
          42.2449         -69.0306                5       -0.0838713        0.0210961         0.029634      -0.00447196         0.114897       -0.0306506
          45.9184         -69.0306                5       -0.0612801        0.0154986       0.00158734       0.00157637         0.080878       -0.0204991
          49.5918         -69.0306                5       -0.0488311        0.0124214      -0.00556857        0.0025498        0.0505267       -0.0116938
          53.2653         -69.0306                5       -0.0356347       0.00934274      -0.00444534       0.00190457        0.0231617       -0.0041193
          56.9388         -69.0306                5       -0.0326969       0.00847407      -0.00873785        0.0030933      -0.00012823       0.00182964
          60.6122         -69.0306                5        -0.025022       0.00647886       -0.0133421       0.00425172       -0.0173923       0.00628032
          64.2857         -69.0306                5         -0.01715       0.00448743        -0.017213       0.00518926       -0.0281002       0.00910122
          67.9592         -69.0306                5        -0.014502       0.00381288       -0.0190135       0.00565095       -0.0358441        0.0111719
          71.6327         -69.0306                5       -0.0127663       0.00336726       -0.0197013       0.00580695       -0.0427935        0.0130259
          75.3061         -69.0306                5      -0.00962084       0.00252693       -0.0194637       0.00568457       -0.0485938         0.014599
          78.9796         -69.0306                5      -0.00580141       0.00151734        -0.017723       0.00513031        -0.053243        0.0158581
          82.6531         -69.0306                5      -0.00344682      0.000909139       -0.0150376       0.00432768        -0.056137        0.0166022
          86.3265         -69.0306                5      -0.00326889      0.000855999       -0.0127384       0.00367828       -0.0584458         0.017178
               90         -69.0306                5      -0.00471527        0.0012801      -0.00948041       0.00275308       -0.0572995        0.0167584
              -90         -65.6633                5          0.19291       -0.0552002         0.122223       -0.0350101         0.647375        -0.184397
         -86.3265         -65.6633                5        0.0966382       -0.0276116        0.0413087        -0.011799         0.965564        -0.274959
         -82.6531         -65.6633                5        0.0050316      -0.00129419       -0.0375106        0.0108114          1.24949        -0.355786
         -78.9796         -65.6633                5         0.191154       -0.0540847         0.157151       -0.0446288          1.39745        -0.398097
         -75.3061         -65.6633                5         0.328219       -0.0929355         0.352836        -0.100335          1.46265        -0.416717
         -71.6327         -65.6633                5          0.39429         -0.11165         0.497957        -0.141646          1.55084        -0.441848
         -67.9592         -65.6633                5         0.446294        -0.126418         0.599499        -0.170568          1.73063        -0.493124
         -64.2857         -65.6633                5         0.527869        -0.149606         0.715999        -0.203742          1.91086        -0.544519
         -60.6122         -65.6633                5         0.827312         -0.23366          1.04126        -0.295395          2.14651        -0.611669
         -56.9388         -65.6633                5         0.864243        -0.243977          1.17276        -0.332663          2.29703        -0.653893
         -53.2653         -65.6633                5         0.788969        -0.222304          1.18761        -0.336565          2.43025        -0.690327
         -49.5918         -65.6633                5          0.90902        -0.257081          1.76739        -0.502934          3.02638        -0.861552
         -45.9184         -65.6633                5          1.06367        -0.300475           2.6803        -0.763946          3.28738         -0.93941
         -42.2449         -65.6633                5         0.851713        -0.237329          3.45605        -0.984607           3.5341         -1.01369
         -38.5714         -65.6633                5       0.00477536        0.0110826          3.70505         -1.05083          3.73246         -1.07213
          -34.898         -65.6633                5        -0.357444         0.115949          3.69704         -1.03774          3.88964         -1.11675
         -31.2245         -65.6633                5        -0.671674         0.201454          2.85455        -0.791051          3.45746        -0.996008
          -27.551         -65.6633                5        -0.812705          0.23792          2.09219        -0.565127          3.25167        -0.937353
         -23.8776         -65.6633                5        -0.849292         0.245688          1.77281        -0.473054          2.98973        -0.861422
         -20.2041         -65.6633                5        -0.778553         0.222278          1.45776        -0.381887          2.61504        -0.751281
         -16.5306         -65.6633                5        -0.625312          0.17559          1.05028        -0.266261          2.20842         -0.63177
         -12.8571         -65.6633                5        -0.526454         0.146397         0.754333          -0.1852          1.92813        -0.551099
         -9.18367         -65.6633                5        -0.486262         0.135001         0.658344        -0.160964          1.70824        -0.488858
